Uploaded_variation,Location,SYMBOL,Gene,GO
rs689,11:2160994-2160994,INS,ENSG00000254647,"GO:0000139:Golgi_membrane,GO:0001819:positive_regulation_of_cytokine_production,GO:0002020:protease_binding,GO:0002674:negative_regulation_of_acute_inflammatory_response,GO:0005158:insulin_receptor_binding,GO:0005159:insulin-like_growth_factor_receptor_binding,GO:0005179:hormone_activity,GO:0005515:protein_binding,GO:0005576:extracellular_region,GO:0005615:extracellular_space,GO:0005788:endoplasmic_reticulum_lumen,GO:0005796:Golgi_lumen,GO:0005975:carbohydrate_metabolic_process,GO:0006006:glucose_metabolic_process,GO:0006355:regulation_of_DNA-templated_transcription,GO:0006521:regulation_of_cellular_amino_acid_metabolic_process,GO:0006953:acute-phase_response,GO:0007165:signal_transduction,GO:0007186:G_protein-coupled_receptor_signaling_pathway,GO:0007267:cell-cell_signaling,GO:0008284:positive_regulation_of_cell_population_proliferation,GO:0008286:insulin_receptor_signaling_pathway,GO:0010628:positive_regulation_of_gene_expression,GO:0010629:negative_regulation_of_gene_expression,GO:0010750:positive_regulation_of_nitric_oxide_mediated_signal_transduction,GO:0014068:positive_regulation_of_phosphatidylinositol_3-kinase_signaling,GO:0022898:regulation_of_transmembrane_transporter_activity,GO:0030133:transport_vesicle,GO:0030307:positive_regulation_of_cell_growth,GO:0030335:positive_regulation_of_cell_migration,GO:0031904:endosome_lumen,GO:0031954:positive_regulation_of_protein_autophosphorylation,GO:0032148:activation_of_protein_kinase_B_activity,GO:0032880:regulation_of_protein_localization,GO:0033116:endoplasmic_reticulum-Golgi_intermediate_compartment_membrane,GO:0033861:negative_regulation_of_NAD(P)H_oxidase_activity,GO:0034774:secretory_granule_lumen,GO:0038060:nitric_oxide-cGMP-mediated_signaling_pathway,GO:0042060:wound_healing,GO:0042177:negative_regulation_of_protein_catabolic_process,GO:0042311:vasodilation,GO:0042593:glucose_homeostasis,GO:0042802:identical_protein_binding,GO:0043410:positive_regulation_of_MAPK_cascade,GO:0045597:positive_regulation_of_cell_differentiation,GO:0045721:negative_regulation_of_gluconeogenesis,GO:0045725:positive_regulation_of_glycogen_biosynthetic_process,GO:0045818:negative_regulation_of_glycogen_catabolic_process,GO:0045821:positive_regulation_of_glycolytic_process,GO:0045840:positive_regulation_of_mitotic_nuclear_division,GO:0045861:negative_regulation_of_proteolysis,GO:0045922:negative_regulation_of_fatty_acid_metabolic_process,GO:0046326:positive_regulation_of_glucose_import,GO:0046628:positive_regulation_of_insulin_receptor_signaling_pathway,GO:0046631:alpha-beta_T_cell_activation,GO:0046889:positive_regulation_of_lipid_biosynthetic_process,GO:0048167:regulation_of_synaptic_plasticity,GO:0050708:regulation_of_protein_secretion,GO:0050709:negative_regulation_of_protein_secretion,GO:0050714:positive_regulation_of_protein_secretion,GO:0050890:cognition,GO:0050995:negative_regulation_of_lipid_catabolic_process,GO:0051000:positive_regulation_of_nitric-oxide_synthase_activity,GO:0051092:positive_regulation_of_NF-kappaB_transcription_factor_activity,GO:0051247:positive_regulation_of_protein_metabolic_process,GO:0051897:positive_regulation_of_protein_kinase_B_signaling,GO:0055089:fatty_acid_homeostasis,GO:0060266:negative_regulation_of_respiratory_burst_involved_in_inflammatory_response,GO:0060267:positive_regulation_of_respiratory_burst,GO:0090277:positive_regulation_of_peptide_hormone_secretion,GO:0090336:positive_regulation_of_brown_fat_cell_differentiation,GO:1900182:positive_regulation_of_protein_localization_to_nucleus,GO:1900273:positive_regulation_of_long-term_synaptic_potentiation,GO:1902176:negative_regulation_of_oxidative_stress-induced_intrinsic_apoptotic_signaling_pathway,GO:1902952:positive_regulation_of_dendritic_spine_maintenance,GO:1903076:regulation_of_protein_localization_to_plasma_membrane,GO:1903427:negative_regulation_of_reactive_oxygen_species_biosynthetic_process,GO:1990535:neuron_projection_maintenance,GO:2000252:negative_regulation_of_feeding_behavior"
rs3842727,11:2163618-2163618,INS,ENSG00000254647,"GO:0000139:Golgi_membrane,GO:0001819:positive_regulation_of_cytokine_production,GO:0002020:protease_binding,GO:0002674:negative_regulation_of_acute_inflammatory_response,GO:0005158:insulin_receptor_binding,GO:0005159:insulin-like_growth_factor_receptor_binding,GO:0005179:hormone_activity,GO:0005515:protein_binding,GO:0005576:extracellular_region,GO:0005615:extracellular_space,GO:0005788:endoplasmic_reticulum_lumen,GO:0005796:Golgi_lumen,GO:0005975:carbohydrate_metabolic_process,GO:0006006:glucose_metabolic_process,GO:0006355:regulation_of_DNA-templated_transcription,GO:0006521:regulation_of_cellular_amino_acid_metabolic_process,GO:0006953:acute-phase_response,GO:0007165:signal_transduction,GO:0007186:G_protein-coupled_receptor_signaling_pathway,GO:0007267:cell-cell_signaling,GO:0008284:positive_regulation_of_cell_population_proliferation,GO:0008286:insulin_receptor_signaling_pathway,GO:0010628:positive_regulation_of_gene_expression,GO:0010629:negative_regulation_of_gene_expression,GO:0010750:positive_regulation_of_nitric_oxide_mediated_signal_transduction,GO:0014068:positive_regulation_of_phosphatidylinositol_3-kinase_signaling,GO:0022898:regulation_of_transmembrane_transporter_activity,GO:0030133:transport_vesicle,GO:0030307:positive_regulation_of_cell_growth,GO:0030335:positive_regulation_of_cell_migration,GO:0031904:endosome_lumen,GO:0031954:positive_regulation_of_protein_autophosphorylation,GO:0032148:activation_of_protein_kinase_B_activity,GO:0032880:regulation_of_protein_localization,GO:0033116:endoplasmic_reticulum-Golgi_intermediate_compartment_membrane,GO:0033861:negative_regulation_of_NAD(P)H_oxidase_activity,GO:0034774:secretory_granule_lumen,GO:0038060:nitric_oxide-cGMP-mediated_signaling_pathway,GO:0042060:wound_healing,GO:0042177:negative_regulation_of_protein_catabolic_process,GO:0042311:vasodilation,GO:0042593:glucose_homeostasis,GO:0042802:identical_protein_binding,GO:0043410:positive_regulation_of_MAPK_cascade,GO:0045597:positive_regulation_of_cell_differentiation,GO:0045721:negative_regulation_of_gluconeogenesis,GO:0045725:positive_regulation_of_glycogen_biosynthetic_process,GO:0045818:negative_regulation_of_glycogen_catabolic_process,GO:0045821:positive_regulation_of_glycolytic_process,GO:0045840:positive_regulation_of_mitotic_nuclear_division,GO:0045861:negative_regulation_of_proteolysis,GO:0045922:negative_regulation_of_fatty_acid_metabolic_process,GO:0046326:positive_regulation_of_glucose_import,GO:0046628:positive_regulation_of_insulin_receptor_signaling_pathway,GO:0046631:alpha-beta_T_cell_activation,GO:0046889:positive_regulation_of_lipid_biosynthetic_process,GO:0048167:regulation_of_synaptic_plasticity,GO:0050708:regulation_of_protein_secretion,GO:0050709:negative_regulation_of_protein_secretion,GO:0050714:positive_regulation_of_protein_secretion,GO:0050890:cognition,GO:0050995:negative_regulation_of_lipid_catabolic_process,GO:0051000:positive_regulation_of_nitric-oxide_synthase_activity,GO:0051092:positive_regulation_of_NF-kappaB_transcription_factor_activity,GO:0051247:positive_regulation_of_protein_metabolic_process,GO:0051897:positive_regulation_of_protein_kinase_B_signaling,GO:0055089:fatty_acid_homeostasis,GO:0060266:negative_regulation_of_respiratory_burst_involved_in_inflammatory_response,GO:0060267:positive_regulation_of_respiratory_burst,GO:0090277:positive_regulation_of_peptide_hormone_secretion,GO:0090336:positive_regulation_of_brown_fat_cell_differentiation,GO:1900182:positive_regulation_of_protein_localization_to_nucleus,GO:1900273:positive_regulation_of_long-term_synaptic_potentiation,GO:1902176:negative_regulation_of_oxidative_stress-induced_intrinsic_apoptotic_signaling_pathway,GO:1902952:positive_regulation_of_dendritic_spine_maintenance,GO:1903076:regulation_of_protein_localization_to_plasma_membrane,GO:1903427:negative_regulation_of_reactive_oxygen_species_biosynthetic_process,GO:1990535:neuron_projection_maintenance,GO:2000252:negative_regulation_of_feeding_behavior"
rs4929965,11:2176056-2176056,TH,ENSG00000180176,"GO:0001666:response_to_hypoxia,GO:0001963:synaptic_transmission_-_dopaminergic,GO:0001975:response_to_amphetamine,GO:0003007:heart_morphogenesis,GO:0004497:monooxygenase_activity,GO:0004511:tyrosine_3-monooxygenase_activity,GO:0005506:iron_ion_binding,GO:0005515:protein_binding,GO:0005634:nucleus,GO:0005737:cytoplasm,GO:0005739:mitochondrion,GO:0005790:smooth_endoplasmic_reticulum,GO:0005829:cytosol,GO:0006585:dopamine_biosynthetic_process_from_tyrosine,GO:0006631:fatty_acid_metabolic_process,GO:0006665:sphingolipid_metabolic_process,GO:0007507:heart_development,GO:0007601:visual_perception,GO:0007605:sensory_perception_of_sound,GO:0007612:learning,GO:0007613:memory,GO:0007617:mating_behavior,GO:0007626:locomotory_behavior,GO:0008016:regulation_of_heart_contraction,GO:0008021:synaptic_vesicle,GO:0008198:ferrous_iron_binding,GO:0008199:ferric_iron_binding,GO:0009072:aromatic_amino_acid_family_metabolic_process,GO:0009410:response_to_xenobiotic_stimulus,GO:0009414:response_to_water_deprivation,GO:0009416:response_to_light_stimulus,GO:0009635:response_to_herbicide,GO:0009651:response_to_salt_stress,GO:0009653:anatomical_structure_morphogenesis,GO:0009887:animal_organ_morphogenesis,GO:0009898:cytoplasmic_side_of_plasma_membrane,GO:0010038:response_to_metal_ion,GO:0010043:response_to_zinc_ion,GO:0010259:multicellular_organism_aging,GO:0014070:response_to_organic_cyclic_compound,GO:0014823:response_to_activity,GO:0015842:aminergic_neurotransmitter_loading_into_synaptic_vesicle,GO:0016137:glycoside_metabolic_process,GO:0016491:oxidoreductase_activity,GO:0016597:amino_acid_binding,GO:0016714:oxidoreductase_activity_-_acting_on_paired_donors_-_with_incorporation_or_reduction_of_molecular_oxygen_-_reduced_pteridine_as_one_donor_-_and_incorporation_of_one_atom_of_oxygen,GO:0017085:response_to_insecticide,GO:0018963:phthalate_metabolic_process,GO:0019825:oxygen_binding,GO:0019899:enzyme_binding,GO:0019904:protein_domain_specific_binding,GO:0021987:cerebral_cortex_development,GO:0030424:axon,GO:0030425:dendrite,GO:0030659:cytoplasmic_vesicle_membrane,GO:0031410:cytoplasmic_vesicle,GO:0031667:response_to_nutrient_levels,GO:0032355:response_to_estradiol,GO:0032496:response_to_lipopolysaccharide,GO:0033076:isoquinoline_alkaloid_metabolic_process,GO:0033162:melanosome_membrane,GO:0034617:tetrahydrobiopterin_binding,GO:0035094:response_to_nicotine,GO:0035176:social_behavior,GO:0035240:dopamine_binding,GO:0035900:response_to_isolation_stress,GO:0035902:response_to_immobilization_stress,GO:0036094:small_molecule_binding,GO:0042136:neurotransmitter_biosynthetic_process,GO:0042214:terpene_metabolic_process,GO:0042416:dopamine_biosynthetic_process,GO:0042418:epinephrine_biosynthetic_process,GO:0042421:norepinephrine_biosynthetic_process,GO:0042423:catecholamine_biosynthetic_process,GO:0042462:eye_photoreceptor_cell_development,GO:0042745:circadian_sleep/wake_cycle,GO:0042755:eating_behavior,GO:0042802:identical_protein_binding,GO:0042995:cell_projection,GO:0043005:neuron_projection,GO:0043025:neuronal_cell_body,GO:0043195:terminal_bouton,GO:0043204:perikaryon,GO:0043434:response_to_peptide_hormone,GO:0043473:pigmentation,GO:0045202:synapse,GO:0045471:response_to_ethanol,GO:0045472:response_to_ether,GO:0046684:response_to_pyrethroid,GO:0046872:metal_ion_binding,GO:0048471:perinuclear_region_of_cytoplasm,GO:0048545:response_to_steroid_hormone,GO:0048596:embryonic_camera-type_eye_morphogenesis,GO:0050890:cognition,GO:0051412:response_to_corticosterone,GO:0051602:response_to_electrical_stimulus,GO:0052314:phytoalexin_metabolic_process,GO:0070848:response_to_growth_factor,GO:0071287:cellular_response_to_manganese_ion,GO:0071312:cellular_response_to_alkaloid,GO:0071316:cellular_response_to_nicotine,GO:0071333:cellular_response_to_glucose_stimulus,GO:0071363:cellular_response_to_growth_factor_stimulus,GO:0071466:cellular_response_to_xenobiotic_stimulus,GO:1990384:hyaloid_vascular_plexus_regression"
rs72853903,11:2177435-2177435,MIR4686,ENSG00000265258,-
rs7111341,11:2191936-2191936,-,-,-
rs7937915,11:2193158-2193158,-,-,-
rs10831551,11:2217058-2217058,-,-,-
rs2237897,11:2837316-2837316,KCNQ1,ENSG00000053918,"GO:0001696:gastric_acid_secretion,GO:0001698:gastrin-induced_gastric_acid_secretion,GO:0002027:regulation_of_heart_rate,GO:0005216:ion_channel_activity,GO:0005244:voltage-gated_ion_channel_activity,GO:0005249:voltage-gated_potassium_channel_activity,GO:0005251:delayed_rectifier_potassium_channel_activity,GO:0005267:potassium_channel_activity,GO:0005515:protein_binding,GO:0005516:calmodulin_binding,GO:0005546:phosphatidylinositol-4-5-bisphosphate_binding,GO:0005737:cytoplasm,GO:0005764:lysosome,GO:0005768:endosome,GO:0005769:early_endosome,GO:0005770:late_endosome,GO:0005783:endoplasmic_reticulum,GO:0005886:plasma_membrane,GO:0006006:glucose_metabolic_process,GO:0006349:regulation_of_gene_expression_by_genomic_imprinting,GO:0006811:ion_transport,GO:0006813:potassium_ion_transport,GO:0006814:sodium_ion_transport,GO:0007507:heart_development,GO:0007605:sensory_perception_of_sound,GO:0007622:rhythmic_behavior,GO:0008016:regulation_of_heart_contraction,GO:0008076:voltage-gated_potassium_channel_complex,GO:0008157:protein_phosphatase_1_binding,GO:0008217:regulation_of_blood_pressure,GO:0009986:cell_surface,GO:0010460:positive_regulation_of_heart_rate,GO:0010467:gene_expression,GO:0010629:negative_regulation_of_gene_expression,GO:0015271:outward_rectifier_potassium_channel_activity,GO:0015705:iodide_transport,GO:0016020:membrane,GO:0016323:basolateral_plasma_membrane,GO:0016324:apical_plasma_membrane,GO:0030133:transport_vesicle,GO:0030218:erythrocyte_differentiation,GO:0030644:cellular_chloride_ion_homeostasis,GO:0030659:cytoplasmic_vesicle_membrane,GO:0031410:cytoplasmic_vesicle,GO:0032409:regulation_of_transporter_activity,GO:0032868:response_to_insulin,GO:0034236:protein_kinase_A_catalytic_subunit_binding,GO:0034237:protein_kinase_A_regulatory_subunit_binding,GO:0034702:ion_channel_complex,GO:0034705:potassium_channel_complex,GO:0034765:regulation_of_ion_transmembrane_transport,GO:0035094:response_to_nicotine,GO:0035176:social_behavior,GO:0035934:corticosterone_secretion,GO:0042472:inner_ear_morphogenesis,GO:0043005:neuron_projection,GO:0043025:neuronal_cell_body,GO:0044325:transmembrane_transporter_binding,GO:0045121:membrane_raft,GO:0045177:apical_part_of_cell,GO:0048839:inner_ear_development,GO:0050892:intestinal_absorption,GO:0050910:detection_of_mechanical_stimulus_involved_in_sensory_perception_of_sound,GO:0055064:chloride_ion_homeostasis,GO:0055075:potassium_ion_homeostasis,GO:0055085:transmembrane_transport,GO:0060048:cardiac_muscle_contraction,GO:0060117:auditory_receptor_cell_development,GO:0060306:regulation_of_membrane_repolarization,GO:0060307:regulation_of_ventricular_cardiac_muscle_cell_membrane_repolarization,GO:0060372:regulation_of_atrial_cardiac_muscle_cell_membrane_repolarization,GO:0060452:positive_regulation_of_cardiac_muscle_contraction,GO:0060453:regulation_of_gastric_acid_secretion,GO:0061337:cardiac_conduction,GO:0062094:stomach_development,GO:0070293:renal_absorption,GO:0070294:renal_sodium_ion_absorption,GO:0071320:cellular_response_to_cAMP,GO:0071466:cellular_response_to_xenobiotic_stimulus,GO:0071805:potassium_ion_transmembrane_transport,GO:0071871:response_to_epinephrine,GO:0071872:cellular_response_to_epinephrine_stimulus,GO:0071875:adrenergic_receptor_signaling_pathway,GO:0072359:circulatory_system_development,GO:0086005:ventricular_cardiac_muscle_cell_action_potential,GO:0086008:voltage-gated_potassium_channel_activity_involved_in_cardiac_muscle_cell_action_potential_repolarization,GO:0086009:membrane_repolarization,GO:0086011:membrane_repolarization_during_action_potential,GO:0086013:membrane_repolarization_during_cardiac_muscle_cell_action_potential,GO:0086014:atrial_cardiac_muscle_cell_action_potential,GO:0086089:voltage-gated_potassium_channel_activity_involved_in_atrial_cardiac_muscle_cell_action_potential_repolarization,GO:0086091:regulation_of_heart_rate_by_cardiac_conduction,GO:0090102:cochlea_development,GO:0097110:scaffold_protein_binding,GO:0097546:ciliary_base,GO:0097623:potassium_ion_export_across_plasma_membrane,GO:0098914:membrane_repolarization_during_atrial_cardiac_muscle_cell_action_potential,GO:0098915:membrane_repolarization_during_ventricular_cardiac_muscle_cell_action_potential,GO:1901381:positive_regulation_of_potassium_ion_transmembrane_transport,GO:1902282:voltage-gated_potassium_channel_activity_involved_in_ventricular_cardiac_muscle_cell_action_potential_repolarization,GO:1905150:regulation_of_voltage-gated_sodium_channel_activity,GO:1905515:non-motile_cilium_assembly,GO:1990573:potassium_ion_import_across_plasma_membrane,GO:1990794:basolateral_part_of_cell"
rs140215710,11:2881830-2881830,CDKN1C,ENSG00000129757,"GO:0000122:negative_regulation_of_transcription_by_RNA_polymerase_II,GO:0001501:skeletal_system_development,GO:0001822:kidney_development,GO:0001890:placenta_development,GO:0004860:protein_kinase_inhibitor_activity,GO:0004861:cyclin-dependent_protein_serine/threonine_kinase_inhibitor_activity,GO:0005515:protein_binding,GO:0005634:nucleus,GO:0005737:cytoplasm,GO:0007049:cell_cycle,GO:0007096:regulation_of_exit_from_mitosis,GO:0007346:regulation_of_mitotic_cell_cycle,GO:0007568:aging,GO:0030099:myeloid_cell_differentiation,GO:0030325:adrenal_gland_development,GO:0030511:positive_regulation_of_transforming_growth_factor_beta_receptor_signaling_pathway,GO:0033673:negative_regulation_of_kinase_activity,GO:0035264:multicellular_organism_growth,GO:0042326:negative_regulation_of_phosphorylation,GO:0042551:neuron_maturation,GO:0043010:camera-type_eye_development,GO:0044877:protein-containing_complex_binding,GO:0045736:negative_regulation_of_cyclin-dependent_protein_serine/threonine_kinase_activity,GO:0045892:negative_regulation_of_DNA-templated_transcription,GO:0045893:positive_regulation_of_DNA-templated_transcription,GO:0045930:negative_regulation_of_mitotic_cell_cycle,GO:0050680:negative_regulation_of_epithelial_cell_proliferation,GO:0051726:regulation_of_cell_cycle,GO:0055123:digestive_system_development,GO:0060065:uterus_development,GO:0060255:regulation_of_macromolecule_metabolic_process,GO:0060669:embryonic_placenta_morphogenesis,GO:0071514:genomic_imprinting,GO:0140678:molecular_function_inhibitor_activity,GO:1902746:regulation_of_lens_fiber_cell_differentiation,GO:1904030:negative_regulation_of_cyclin-dependent_protein_kinase_activity"
rs61879614,11:8058878-8058878,TUB-AS1,ENSG00000248332,-
rs4638289,11:18264227-18264227,SAA1,ENSG00000173432,"GO:0001664:G_protein-coupled_receptor_binding,GO:0001819:positive_regulation_of_cytokine_production,GO:0005576:extracellular_region,GO:0005881:cytoplasmic_microtubule,GO:0006953:acute-phase_response,GO:0007204:positive_regulation_of_cytosolic_calcium_ion_concentration,GO:0008201:heparin_binding,GO:0030168:platelet_activation,GO:0030593:neutrophil_chemotaxis,GO:0032732:positive_regulation_of_interleukin-1_production,GO:0034364:high-density_lipoprotein_particle,GO:0045785:positive_regulation_of_cell_adhesion,GO:0048246:macrophage_chemotaxis,GO:0048247:lymphocyte_chemotaxis,GO:0050708:regulation_of_protein_secretion,GO:0050728:negative_regulation_of_inflammatory_response,GO:0070062:extracellular_exosome,GO:0071682:endocytic_vesicle_lumen"
rs7128060,11:18269981-18269981,SAA1,ENSG00000173432,"GO:0001664:G_protein-coupled_receptor_binding,GO:0001819:positive_regulation_of_cytokine_production,GO:0005576:extracellular_region,GO:0005881:cytoplasmic_microtubule,GO:0006953:acute-phase_response,GO:0007204:positive_regulation_of_cytosolic_calcium_ion_concentration,GO:0008201:heparin_binding,GO:0030168:platelet_activation,GO:0030593:neutrophil_chemotaxis,GO:0032732:positive_regulation_of_interleukin-1_production,GO:0034364:high-density_lipoprotein_particle,GO:0045785:positive_regulation_of_cell_adhesion,GO:0048246:macrophage_chemotaxis,GO:0048247:lymphocyte_chemotaxis,GO:0050708:regulation_of_protein_secretion,GO:0050728:negative_regulation_of_inflammatory_response,GO:0070062:extracellular_exosome,GO:0071682:endocytic_vesicle_lumen"
rs190446914,11:33955292-33955292,-,-,-
rs11033048,11:35267496-35267496,SLC1A2,ENSG00000110436,"GO:0005313:L-glutamate_transmembrane_transporter_activity,GO:0005314:high-affinity_L-glutamate_transmembrane_transporter_activity,GO:0005515:protein_binding,GO:0005886:plasma_membrane,GO:0006750:glutathione_biosynthetic_process,GO:0006811:ion_transport,GO:0006836:neurotransmitter_transport,GO:0006865:amino_acid_transport,GO:0007268:chemical_synaptic_transmission,GO:0007399:nervous_system_development,GO:0007632:visual_behavior,GO:0008324:cation_transmembrane_transporter_activity,GO:0008509:anion_transmembrane_transporter_activity,GO:0008514:organic_anion_transmembrane_transporter_activity,GO:0009410:response_to_xenobiotic_stimulus,GO:0009416:response_to_light_stimulus,GO:0009611:response_to_wounding,GO:0009986:cell_surface,GO:0010259:multicellular_organism_aging,GO:0015175:neutral_amino_acid_transmembrane_transporter_activity,GO:0015179:L-amino_acid_transmembrane_transporter_activity,GO:0015293:symporter_activity,GO:0015501:glutamate:sodium_symporter_activity,GO:0015804:neutral_amino_acid_transport,GO:0015813:L-glutamate_transmembrane_transport,GO:0016020:membrane,GO:0016021:integral_component_of_membrane,GO:0021537:telencephalon_development,GO:0030424:axon,GO:0030534:adult_behavior,GO:0030673:axolemma,GO:0031668:cellular_response_to_extracellular_stimulus,GO:0031982:vesicle,GO:0033229:cysteine_transmembrane_transporter_activity,GO:0035264:multicellular_organism_growth,GO:0042734:presynaptic_membrane,GO:0043200:response_to_amino_acid,GO:0044297:cell_body,GO:0044306:neuron_projection_terminus,GO:0045121:membrane_raft,GO:0045202:synapse,GO:0046326:positive_regulation_of_glucose_import,GO:0046872:metal_ion_binding,GO:0070207:protein_homotrimerization,GO:0070633:transepithelial_transport,GO:0070778:L-aspartate_transmembrane_transport,GO:0070779:D-aspartate_import_across_plasma_membrane,GO:0071314:cellular_response_to_cocaine,GO:0097449:astrocyte_projection,GO:0098655:cation_transmembrane_transport,GO:0098656:anion_transmembrane_transport,GO:0098712:L-glutamate_import_across_plasma_membrane,GO:0098796:membrane_protein_complex,GO:0098810:neurotransmitter_reuptake,GO:0098978:glutamatergic_synapse,GO:0140009:L-aspartate_import_across_plasma_membrane,GO:0150104:transport_across_blood-brain_barrier,GO:1903712:cysteine_transmembrane_transport"
rs79538630,11:60961822-60961822,-,-,-
rs968567,11:61828092-61828092,FADS2,ENSG00000134824,"GO:0004768:stearoyl-CoA_9-desaturase_activity,GO:0005783:endoplasmic_reticulum,GO:0005789:endoplasmic_reticulum_membrane,GO:0005886:plasma_membrane,GO:0006629:lipid_metabolic_process,GO:0006631:fatty_acid_metabolic_process,GO:0006633:fatty_acid_biosynthetic_process,GO:0006636:unsaturated_fatty_acid_biosynthetic_process,GO:0008610:lipid_biosynthetic_process,GO:0016020:membrane,GO:0016213:linoleoyl-CoA_desaturase_activity,GO:0016491:oxidoreductase_activity,GO:0016717:oxidoreductase_activity_-_acting_on_paired_donors_-_with_oxidation_of_a_pair_of_donors_resulting_in_the_reduction_of_molecular_oxygen_to_two_molecules_of_water,GO:0036109:alpha-linolenic_acid_metabolic_process,GO:0043651:linoleic_acid_metabolic_process"
rs645078,11:64367826-64367826,RPS6KA4,ENSG00000162302,"GO:0000166:nucleotide_binding,GO:0000287:magnesium_ion_binding,GO:0001818:negative_regulation_of_cytokine_production,GO:0004672:protein_kinase_activity,GO:0004674:protein_serine/threonine_kinase_activity,GO:0004711:ribosomal_protein_S6_kinase_activity,GO:0005515:protein_binding,GO:0005524:ATP_binding,GO:0005634:nucleus,GO:0005654:nucleoplasm,GO:0005737:cytoplasm,GO:0005829:cytosol,GO:0006355:regulation_of_DNA-templated_transcription,GO:0006468:protein_phosphorylation,GO:0006954:inflammatory_response,GO:0016301:kinase_activity,GO:0016310:phosphorylation,GO:0016570:histone_modification,GO:0016740:transferase_activity,GO:0018105:peptidyl-serine_phosphorylation,GO:0032793:positive_regulation_of_CREB_transcription_factor_activity,GO:0035175:histone_kinase_activity_(H3-S10_specific),GO:0035556:intracellular_signal_transduction,GO:0043687:post-translational_protein_modification,GO:0044022:histone_kinase_activity_(H3-S28_specific),GO:0045202:synapse,GO:0045944:positive_regulation_of_transcription_by_RNA_polymerase_II,GO:0046872:metal_ion_binding,GO:0051092:positive_regulation_of_NF-kappaB_transcription_factor_activity,GO:0070498:interleukin-1-mediated_signaling_pathway,GO:0106310:protein_serine_kinase_activity"
rs312024,11:68326963-68326963,LRP5,ENSG00000162337,"GO:0001702:gastrulation_with_mouth_forming_second,GO:0001944:vasculature_development,GO:0002053:positive_regulation_of_mesenchymal_cell_proliferation,GO:0002076:osteoblast_development,GO:0005515:protein_binding,GO:0005783:endoplasmic_reticulum,GO:0005886:plasma_membrane,GO:0006007:glucose_catabolic_process,GO:0006897:endocytosis,GO:0008078:mesodermal_cell_migration,GO:0008203:cholesterol_metabolic_process,GO:0008217:regulation_of_blood_pressure,GO:0008284:positive_regulation_of_cell_population_proliferation,GO:0009952:anterior/posterior_pattern_specification,GO:0015026:coreceptor_activity,GO:0016020:membrane,GO:0016055:Wnt_signaling_pathway,GO:0017147:Wnt-protein_binding,GO:0033687:osteoblast_proliferation,GO:0033690:positive_regulation_of_osteoblast_proliferation,GO:0035019:somatic_stem_cell_population_maintenance,GO:0035108:limb_morphogenesis,GO:0035426:extracellular_matrix-cell_signaling,GO:0042074:cell_migration_involved_in_gastrulation,GO:0042632:cholesterol_homeostasis,GO:0042733:embryonic_digit_morphogenesis,GO:0042813:Wnt_receptor_activity,GO:0042981:regulation_of_apoptotic_process,GO:0043235:receptor_complex,GO:0045600:positive_regulation_of_fat_cell_differentiation,GO:0045668:negative_regulation_of_osteoblast_differentiation,GO:0045669:positive_regulation_of_osteoblast_differentiation,GO:0045840:positive_regulation_of_mitotic_nuclear_division,GO:0045893:positive_regulation_of_DNA-templated_transcription,GO:0045944:positive_regulation_of_transcription_by_RNA_polymerase_II,GO:0046849:bone_remodeling,GO:0048539:bone_marrow_development,GO:0051091:positive_regulation_of_DNA-binding_transcription_factor_activity,GO:0060033:anatomical_structure_regression,GO:0060042:retina_morphogenesis_in_camera-type_eye,GO:0060070:canonical_Wnt_signaling_pathway,GO:0060348:bone_development,GO:0060349:bone_morphogenesis,GO:0060444:branching_involved_in_mammary_gland_duct_morphogenesis,GO:0060603:mammary_gland_duct_morphogenesis,GO:0060612:adipose_tissue_development,GO:0060764:cell-cell_signaling_involved_in_mammary_gland_development,GO:0061178:regulation_of_insulin_secretion_involved_in_cellular_response_to_glucose_stimulus,GO:0061299:retina_vasculature_morphogenesis_in_camera-type_eye,GO:0061304:retinal_blood_vessel_morphogenesis,GO:0071901:negative_regulation_of_protein_serine/threonine_kinase_activity,GO:0071936:coreceptor_activity_involved_in_Wnt_signaling_pathway,GO:0110135:Norrin_signaling_pathway,GO:1902262:apoptotic_process_involved_in_blood_vessel_morphogenesis,GO:1904928:coreceptor_activity_involved_in_canonical_Wnt_signaling_pathway,GO:1990851:Wnt-Frizzled-LRP5/6_complex,GO:1990909:Wnt_signalosome"
rs4084127,11:69781755-69781755,-,-,-
rs7936434,11:76582761-76582761,-,-,-
rs188260549,11:78403273-78403273,GAB2,ENSG00000033327,"GO:0005068:transmembrane_receptor_protein_tyrosine_kinase_adaptor_activity,GO:0005515:protein_binding,GO:0005547:phosphatidylinositol-3-4-5-trisphosphate_binding,GO:0005737:cytoplasm,GO:0005829:cytosol,GO:0005886:plasma_membrane,GO:0007165:signal_transduction,GO:0007169:transmembrane_receptor_protein_tyrosine_kinase_signaling_pathway,GO:0008284:positive_regulation_of_cell_population_proliferation,GO:0016020:membrane,GO:0030316:osteoclast_differentiation,GO:0035591:signaling_adaptor_activity,GO:0043306:positive_regulation_of_mast_cell_degranulation,GO:0043325:phosphatidylinositol-3-4-bisphosphate_binding,GO:0048015:phosphatidylinositol-mediated_signaling"
rs10625784,11:106323171-106323171,-,-,-
