	rsid	region	chr_pos	chr_id	p_value	mapped_gene	-logp	cumulative_pos
349	rs1326934	10q24.1	95524324	10	6e-07	SORBS1	14.326336181730264	334114940
350	rs947474	10p15.1	6348488	10	4e-09	LINC02649	19.33697147582652	244939104
351	rs12251307	10p15.1	6081532	10	2e-06	RPL32P23 - RBM17	13.122363377404328	244672148
352	rs11258747	10p15.1	6430929	10	1e-07	PRKCQ	16.11809565095832	245021545
353	rs10509540	10q23.31	88263276	10	1e-28	NA - RNLS	64.47238260383328	326853892
354	rs12722495	10p15.1	6055320	10	1e-38	IL2RA	87.49823353377374	244645936
355	rs113306148	10q26.13	122400322	10	3e-06	PLEKHA1	12.716898269296165	360990938
356	rs117826205	10p12.31	19168458	10	6e-06	MALRD1	12.02375108873622	257759074
357	rs61839660	10p15.1	6052734	10	3e-39	IL2RA	88.70220633809967	244643350
358	rs10795791	10p15.1	6066377	10	6e-11	IL2RA - RPL32P23	23.536676553706446	244656993
359	rs41295121	10p15.1	6087680	10	5e-08	RPL32P23 - RBM17	16.811242831518264	244678296
360	rs12416116	10q23.31	88275897	10	4e-15	RNLS	33.1524820337908	326866513
361	rs537544	10p14	8066419	10	9e-09	GATA3	18.526041259610192	246657035
362	rs78325861	10q22.1	70618733	10	2e-11	PRF1 - ADAMTS14	24.635288842374557	309209349
363	rs722988	10p11.22	33137219	10	3e-15	IATPR - NRP1	33.44016410624258	271727835
364	rs1816797		60664647	10	2e-08		17.72753356339242	299255263
365	rs544143586		120940685	10	2e-08		17.72753356339242	359531301
366	rs10829984		131361823	10	2e-08		17.72753356339242	369952439
367	rs4084127	11q13.3	69781755	11	3e-06	FGF4 - FGF3	12.716898269296165	439734194
368	rs1004446	11p15.5	2148913	11	4e-09	INS-IGF2	19.33697147582652	372101352
369	rs3741208	11p15.5	2148544	11	2e-07	INS-IGF2, IGF2-AS	15.424948470398375	372100983
370	rs7111341	11p15.5	2191936	11	4e-48	MIR4686 - ASCL2	109.13779010259431	372144375
371	rs10831551	11p15.5	2217058	11	5e-06	MIR4686 - ASCL2	12.206072645530174	372169497
372	rs3842727	11p15.5	2163618	11	6e-06	INS - TH	12.02375108873622	372116057
373	rs10625784	11q22.3	106323171	11	8e-07		14.038654109278484	476275610
374	rs61879614	11p15.4	8058878	11	3e-06	TUB	12.716898269296165	378011317
375	rs689	11p15.5	2160994	11	1e-100	INS-IGF2, INS	230.25850929940458	372113433
376	rs72853903	11p15.5	2177435	11	6e-10	MIR4686 - ASCL2	21.234091460712403	372129874
377	rs140215710	11p15.4	2881830	11	4e-08	KCNQ1DN - CDKN1C	17.034386382832476	372834269
378	rs7936434	11q13.5	76582761	11	4e-08	EMSY - LINC02757	17.034386382832476	446535200
379	rs607703	11q24.3	128734279	11	1e-10	FLI1	23.025850929940457	498686718
380	rs79538630	11q12.2	60961822	11	1e-09	SLC15A3 - CD6	20.72326583694641	430914261
381	rs645078	11q13.1	64367826	11	3e-09	RPS6KA4	19.624653548278303	434320265
382	rs968567	11q12.2	61828092	11	8e-09	FADS1, FADS2	18.643824295266576	431780531
383	rs605093	11q24.3	128734337	11	4e-09	FLI1	19.33697147582652	498686776
384	rs11033048	11p13	35267496	11	2e-10	SLC1A2	22.33270374938051	405219935
385	rs188260549		78403273	11	5e-09		19.11382792451231	448355712
386	rs190446914		33955292	11	2e-09		20.030118656386467	403907731
387	rs7128060		18269981	11	3e-39		88.70220633809967	388222420
388	rs312024		68326963	11	1e-09		20.72326583694641	438279402
389	rs4638289		18264227	11	4e-09		19.33697147582652	388216666
390	rs2292239	12q13.2	56088396	12	3e-16	ERBB3	35.74274919923662	554775172
391	rs17696736	12q24.13	112049014	12	2e-16	NAA25	36.14821430734479	610735790
392	rs1701704	12q13.2	56018703	12	9e-10	IKZF4	20.82862635260424	554705479
393	rs614226	12q24.31	120536707	12	2e-06	RNF10	13.122363377404328	619223483
394	rs4763879	12p13.31	9757568	12	2e-11	CD69	24.635288842374557	508444344
395	rs3184504	12q24.12	111446804	12	4e-07	ATXN2, SH2B3	14.73180128983843	610133580
396	rs705705	12q13.2	56041720	12	4e-32	RPS26	72.29642861468957	554728496
397	rs653178	12q24.12	111569952	12	2e-44	ATXN2	100.62059691117807	610256728
398	rs917911	12p13.31	9753255	12	2e-07	CD69	15.424948470398375	508440031
399	rs7301381	12p13.31	8971336	12	5e-11	KLRG1	23.7189981105004	507658112
400	rs1805731	12p13.31	8942630	12	4e-08	M6PR	17.034386382832476	507629406
401	rs7313065	12q13.13	53077434	12	3e-09	SPRYD3	19.624653548278303	551764210
402	rs2255593		65543332	12	7e-09		18.7773556878911	564230108
403	rs2250519		65644210	12	7e-10		21.079940780885142	564330986
404	rs17178006		65324519	12	1e-06		13.815510557964274	564011295
405	rs539514	13q22.2	75752146	13	6e-11	LMO7	23.536676553706446	694975629
406	rs9585056	13q32.3	99429512	13	3e-08	CCR12P - TM9SF2	17.322068455284256	718652995
407	rs238265	13q14.11	42356523	13	2e-09	LINC02341	20.030118656386467	661580006
408	rs74537115	13q14.11	42343795	13	5e-09	LINC02341	19.11382792451231	661567278
409	rs10137082	14q11.2	23370824	14	6e-06	EFS - IL25	12.02375108873622	742023819
410	rs941576	14q32.2	100839708	14	1e-10	MEG3	23.025850929940457	819492703
411	rs878889	14q22.3	56754421	14	8e-07	NA - OTX2	14.038654109278484	775407416
412	rs4900384	14q32.2	98032614	14	4e-09	LINC01550 - NA	19.33697147582652	816685609
413	rs1465788	14q24.1	68796882	14	2e-12	ZFP36L1 - MAGOH3P	26.937873935368604	787449877
414	rs1456988	14q32.2	98021670	14	3e-08	LINC01550 - NA	17.322068455284256	816674665
415	rs56994090	14q32.2	100840110	14	1e-11	MEG3	25.328436022934504	819493105
416	rs55846421	14q21.3	49843683	14	2e-09	NEMF	20.030118656386467	768496678
417	rs911263	14q24.1	68286876	14	3e-08	RAD51B	17.322068455284256	786939871
418	rs188683350		21746775	14	3e-09		19.624653548278303	740399770
419	rs148758429		96458513	14	9e-07		13.9208710736221	815111508
420	rs11157552		22383427	14	8e-13		27.85416466724276	741036422
421	rs4389079		22390463	14	1e-08		18.420680743952367	741043458
422	rs12437854	15q26.1	93598604	15	2e-09		20.030118656386467	913091709
423	rs8035957	15q14	38546063	15	4e-06	RASGRP1	12.429216196844383	858039168
424	rs3825932	15q25.1	78943104	15	8e-08	CTSH	16.34123920227253	898436209
425	rs7171171	15q14	38614840	15	2e-07	RASGRP1 - LINC02694	15.424948470398375	858107945
426	rs79237700	15q21.3	53449415	15	2e-06	LINC02490 - WDR72	13.122363377404328	872942520
427	rs72727394	15q14	38554821	15	4e-10	RASGRP1	21.639556568820566	858047926
428	rs34593439	15q25.1	78942615	15	9e-14	CTSH	30.03896672458042	898435720
429	rs182087948		46441258	15	4e-09		19.33697147582652	865934363
430	rs188453055		74624584	15	2e-06		13.122363377404328	894117689
431	rs77081773		27596077	15	2e-08		17.72753356339242	847089182
432	rs416603	16p13.13	11270222	16	3e-06	RMI2	12.716898269296165	924361931
433	rs12708716	16p13.13	11086016	16	7e-13	CLEC16A	27.98769605986728	924177725
434	rs2903692	16p13.13	11144926	16	7e-11	CLEC16A	23.38252587387919	924236635
435	rs7202877	16q23.1	75213347	16	3e-15	CTRB2 - CTRB1	33.44016410624258	988305056
436	rs12444268	16p12.3	20331250	16	2e-07	GP2 - UMOD	15.424948470398375	933422959
437	rs4788084	16p11.2	28528527	16	1e-08	IL27 - NUPR1	18.420680743952367	941620236
438	rs9934817	16p13.3	6086218	16	8e-06	RBFOX1	11.736069016284437	919177927
439	rs151234	16p12.1	28494339	16	5e-11	CLN3	23.7189981105004	941586048
440	rs12927355	16p13.13	11100914	16	3e-22	CLEC16A	49.558259757200894	924192623
441	rs193778	16p13.13	11257354	16	4e-10	RMI2	21.639556568820566	924349063
442	rs8056814	16q23.1	75218429	16	3e-19	CTRB2 - CTRB1	42.65050447821876	988310138
443	rs1110458	16p12.2	22969144	16	8e-06	HS3ST2 - USP31	11.736069016284437	936060853
444	rs4238595	16p12.3	20331769	16	2e-11	GP2 - UMOD	24.635288842374557	933423478
445	rs8046043	16q23.2	80250127	16	2e-08		17.72753356339242	993341836
446	rs562286756		51887655	16	2e-09		20.030118656386467	964979364
447	rs187229894		61597297	16	8e-09		18.643824295266576	974689006
448	rs74956101		9864106	16	9e-10		20.82862635260424	922955815
449	rs117426660		73991175	16	2e-08		17.72753356339242	987082884
450	rs2290400	17q21.1	39909987	17	6e-13	GSDMB	28.14184673969454	1033251823
451	rs16956936	17p13.1	7730374	17	5e-07	DNAH2	14.508657738524219	1001072210
452	rs7221109	17q21.2	40614034	17	1e-09	CCR7 - SMARCE1	20.72326583694641	1033955870
453	rs2872507	17q21.1	39884510	17	2e-06	ZPBP2 - GSDMB	13.122363377404328	1033226346
454	rs34319244	17p13.2	4424870	17	3e-06	UBE2G1 - SPNS3	12.716898269296165	997766706
455	rs12453507	17q21.1	39896954	17	1e-08	ZPBP2 - GSDMB	18.420680743952367	1033238790
456	rs757411	17q21.2	40618898	17	1e-07	CCR7 - SMARCE1	16.11809565095832	1033960734
457	rs1052553	17q21.31	45996523	17	8e-08	MAPT, MAPT, MAPT	16.34123920227253	1039338359
458	rs2941522	17q12	39754115	17	7e-09	GRB7 - IKZF3	18.7773556878911	1033095951
459	rs61759532	17p13.1	7337072	17	2e-10	ACAP1	22.33270374938051	1000678908
460	rs11651753	17q21.32	47951723	17	1e-09	PNPO - PRR15L	20.72326583694641	1041293559
461	rs57209021	17q24.2	68168777	17	4e-08	RDM1P3 - ARHGAP27P2	17.034386382832476	1061510613
462	rs2597169	17q21.32	47956725	17	3e-09	PRR15L	19.624653548278303	1041298561
463	rs2542151	18p11.21	12779948	18	9e-08	LINC01882 - PTPN2	16.223456166616145	1074290561
464	rs763361	18q22.2	69864406	18	1e-08	CD226	18.420680743952367	1131375019
465	rs1893217	18p11.21	12809341	18	4e-15	PTPN2	33.1524820337908	1074319954
466	rs113114656	18q21.1	47872985	18	2e-06	SMAD2	13.122363377404328	1109383598
467	rs12971201	18p11.21	12830539	18	2e-06	PTPN2	13.122363377404328	1074341152
468	rs1615504	18q22.2	69859408	18	2e-11	CD226	24.635288842374557	1131370021
469	rs550543239		21507398	18	2e-08		17.72753356339242	1083018011
470	rs146427450		69571112	18	1e-10		23.025850929940457	1131081725
471	rs118037200		58518360	18	3e-08		17.322068455284256	1120028973
472	rs144833113		58389479	18	2e-07		15.424948470398375	1119900092
473	rs144512578		69405649	18	1e-06		13.815510557964274	1130916262
474	rs2304256	19p13.2	10364976	19	4e-09	TYK2	19.33697147582652	1141739995
475	rs425105	19q13.32	46705224	19	3e-11	PRKD2	24.229823734266393	1178080243
476	rs34536443	19p13.2	10352442	19	4e-15	TYK2	33.1524820337908	1141727461
477	rs12720356	19p13.2	10359299	19	4e-07	TYK2	14.73180128983843	1141734318
478	rs402072	19q13.32	46715865	19	5e-08	PRKD2	16.811242831518264	1178090884
479	rs516246	19q13.33	48702915	19	5e-14	FUT2	30.626753389482538	1180077934
480	rs752049703		36633617	19	4e-08		17.034386382832476	1168008636
481	rs45518931		36013582	19	1e-08		18.420680743952367	1167388601
482	rs189285397		37034392	19	3e-08		17.322068455284256	1168409411
483	rs553696081		47871241	19	2e-08		17.72753356339242	1179246260
484	rs7351085		31157758	19	2e-08		17.72753356339242	1162532777
485	rs563597519		35897277	19	2e-06		13.122363377404328	1167272296
486	rs6027506	20q13.33	60321657	20	5e-06	MIR646HG	12.206072645530174	1481867922
487	rs13045180	20q11.21	32943738	20	9e-06	EFCAB8	11.618285980628055	1454490003
488	rs11698685	20q13.33	60320788	20	1e-06	MIR646HG	13.815510557964274	1481867053
489	rs2281808	20p13	1629905	20	1e-11	SIRPG	25.328436022934504	1423176170
490	rs6055069	20p13	153643	20	1e-06	DEFB126 - DEFB127	13.815510557964274	1421699908
491	rs6043409	20p13	1635560	20	3e-10	SIRPG-AS1, SIRPG	21.927238641272346	1423181825
492	rs543301155		4377254	20	4e-06		12.429216196844383	1425923519
493	rs9976767	21q22.3	42416281	21	2e-08	UBASH3A	17.72753356339242	1524284203
494	rs11203203	21q22.3	42416077	21	2e-09	UBASH3A	20.030118656386467	1524283999
495	rs3788013	21q22.3	42421219	21	1e-07	UBASH3A	16.11809565095832	1524289141
496	rs67213764	21q21.1	19974842	21	9e-06	LINC01683 - NA	11.618285980628055	1501842764
497	rs12482425	21q21.2	23556791	21	9e-06		11.618285980628055	1505424713
498	rs11203202	21q22.3	42405248	21	1e-15	UBASH3A	34.538776394910684	1524273170
499	rs6518350	21q22.3	44201934	21	1e-07	GATD3A	16.11809565095832	1526069856
500	rs74203920	21q22.3	44294411	21	2e-08	AIRE	17.72753356339242	1526162333
501	rs56178904	21q22.3	44204668	21	7e-11	GATD3A	23.38252587387919	1526072590
502	rs531381284		41956642	21	2e-07		15.424948470398375	1523824564
503	rs1568959252		44998426	21	8e-09		18.643824295266576	1526866348
504	rs5753037	22q12.2	30185733	22	3e-16	HORMAD2 - LIF-AS1	35.74274919923662	1557052081
505	rs229541	22q12.3	37195278	22	2e-07	C1QTNF6	15.424948470398375	1564061626
506	rs743777	22q12.3	37155567	22	2e-06	IL2RB	13.122363377404328	1564021915
507	rs428595	22q11.21	21662102	22	2e-06	MIR130B - PPIL2	13.122363377404328	1548528450
508	rs373009901	22q12.1	25592812	22	9e-06	GRK3	11.618285980628055	1552459160
509	rs4820830	22q12.2	30135102	22	1e-12	HORMAD2	27.631021115928547	1557001450
510	rs229533	22q12.3	37191071	22	2e-08	C1QTNF6	17.72753356339242	1564057419
511	rs2664170	Xq28	154717327	X	8e-09	GAB3	18.643824295266576	2746313680
