rsid	go	term
rs11258747	GO:0032753	positive regulation of interleukin-4 production
rs11258747	GO:0034451	centriolar satellite
rs11258747	GO:0035739	CD4-positive - alpha-beta T cell proliferation
rs11258747	GO:0038095	Fc-epsilon receptor signaling pathway
rs11258747	GO:0042110	T cell activation
rs11258747	GO:0046627	negative regulation of insulin receptor signaling pathway
rs11258747	GO:0050870	positive regulation of T cell activation
rs11258747	GO:0051973	positive regulation of telomerase activity
rs11258747	GO:0060326	cell chemotaxis
rs11258747	GO:0070233	negative regulation of T cell apoptotic process
rs11258747	GO:0090330	regulation of platelet aggregation
rs11258747	GO:1904355	positive regulation of telomere capping
rs11258747	GO:2000318	positive regulation of T-helper 17 type immune response
rs11258747	GO:2000563	positive regulation of CD4-positive - alpha-beta T cell proliferation
rs11258747	GO:2000570	positive regulation of T-helper 2 cell activation
rs3802604	GO:0000785	chromatin
rs3802604	GO:0000902	cell morphogenesis
rs3802604	GO:0000976	transcription cis-regulatory region binding
rs3802604	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding
rs3802604	GO:0001223	transcription coactivator binding
rs3802604	GO:0001227	DNA-binding transcription repressor activity - RNA polymerase II-specific
rs3802604	GO:0001764	neuron migration
rs3802604	GO:0001806	type IV hypersensitivity
rs3802604	GO:0001822	kidney development
rs3802604	GO:0001823	mesonephros development
rs3802604	GO:0002088	lens development in camera-type eye
rs3802604	GO:0002520	immune system development
rs3802604	GO:0002572	pro-T cell differentiation
rs3802604	GO:0003180	aortic valve morphogenesis
rs3802604	GO:0003215	cardiac right ventricle morphogenesis
rs3802604	GO:0003281	ventricular septum development
rs3802604	GO:0005134	interleukin-2 receptor binding
rs3802604	GO:0006338	chromatin remodeling
rs3802604	GO:0006366	transcription by RNA polymerase II
rs3802604	GO:0006952	defense response
rs3802604	GO:0008584	male gonad development
rs3802604	GO:0009615	response to virus
rs3802604	GO:0009653	anatomical structure morphogenesis
rs3802604	GO:0009791	post-embryonic development
rs3802604	GO:0009967	positive regulation of signal transduction
rs3802604	GO:0010332	response to gamma radiation
rs3802604	GO:0010595	positive regulation of endothelial cell migration
rs3802604	GO:0010719	negative regulation of epithelial to mesenchymal transition
rs3802604	GO:0010975	regulation of neuron projection development
rs3802604	GO:0030182	neuron differentiation
rs3802604	GO:0030218	erythrocyte differentiation
rs3802604	GO:0030225	macrophage differentiation
rs3802604	GO:0030856	regulation of epithelial cell differentiation
rs3802604	GO:0031929	TOR signaling
rs3802604	GO:0032703	negative regulation of interleukin-2 production
rs3802604	GO:0032736	positive regulation of interleukin-13 production
rs3802604	GO:0032754	positive regulation of interleukin-5 production
rs3802604	GO:0033077	T cell differentiation in thymus
rs3802604	GO:0033600	negative regulation of mammary gland epithelial cell proliferation
rs3802604	GO:0035162	embryonic hemopoiesis
rs3802604	GO:0035457	cellular response to interferon-alpha
rs3802604	GO:0035799	ureter maturation
rs3802604	GO:0035898	parathyroid hormone secretion
rs3802604	GO:0042421	norepinephrine biosynthetic process
rs3802604	GO:0042472	inner ear morphogenesis
rs3802604	GO:0042802	identical protein binding
rs3802604	GO:0043523	regulation of neuron apoptotic process
rs3802604	GO:0043565	sequence-specific DNA binding
rs3802604	GO:0043583	ear development
rs3802604	GO:0043627	response to estrogen
rs3802604	GO:0045061	thymic T cell selection
rs3802604	GO:0045064	T-helper 2 cell differentiation
rs3802604	GO:0045165	cell fate commitment
rs3802604	GO:0045471	response to ethanol
rs3802604	GO:0045597	positive regulation of cell differentiation
rs3802604	GO:0045599	negative regulation of fat cell differentiation
rs3802604	GO:0045622	regulation of T-helper cell differentiation
rs3802604	GO:0045786	negative regulation of cell cycle
rs3802604	GO:0045892	negative regulation of DNA-templated transcription
rs3802604	GO:0048469	cell maturation
rs3802604	GO:0048485	sympathetic nervous system development
rs3802604	GO:0048538	thymus development
rs3802604	GO:0048568	embryonic organ development
rs3802604	GO:0048589	developmental growth
rs3802604	GO:0048646	anatomical structure formation involved in morphogenesis
rs3802604	GO:0048731	system development
rs3802604	GO:0048872	homeostasis of number of cells
rs3802604	GO:0051216	cartilage development
rs3802604	GO:0051569	regulation of histone H3-K4 methylation
rs3802604	GO:0051897	positive regulation of protein kinase B signaling
rs3802604	GO:0060017	parathyroid gland development
rs3802604	GO:0060037	pharyngeal system development
rs3802604	GO:0060065	uterus development
rs3802604	GO:0060231	mesenchymal to epithelial transition
rs3802604	GO:0060374	mast cell differentiation
rs3802604	GO:0060676	ureteric bud formation
rs3802604	GO:0061085	regulation of histone H3-K27 methylation
rs3802604	GO:0061290	canonical Wnt signaling pathway involved in metanephric kidney development
rs3802604	GO:0070888	E-box binding
rs3802604	GO:0071345	cellular response to cytokine stimulus
rs3802604	GO:0071353	cellular response to interleukin-4
rs3802604	GO:0071442	positive regulation of histone H3-K14 acetylation
rs3802604	GO:0071599	otic vesicle development
rs3802604	GO:0071773	cellular response to BMP stimulus
rs3802604	GO:0071837	HMG box domain binding
rs3802604	GO:0072107	positive regulation of ureteric bud formation
rs3802604	GO:0072178	nephric duct morphogenesis
rs3802604	GO:0072179	nephric duct formation
rs3802604	GO:0072182	regulation of nephron tubule epithelial cell differentiation
rs3802604	GO:0072197	ureter morphogenesis
rs3802604	GO:0072676	lymphocyte migration
rs3802604	GO:0090102	cochlea development
rs3802604	GO:1901536	negative regulation of DNA demethylation
rs3802604	GO:2000114	regulation of establishment of cell polarity
rs3802604	GO:2000146	negative regulation of cell motility
rs3802604	GO:2000553	positive regulation of T-helper 2 cell cytokine production
rs3802604	GO:2000607	negative regulation of cell proliferation involved in mesonephros development
rs3802604	GO:2000611	positive regulation of thyroid hormone generation
rs3802604	GO:2000617	positive regulation of histone H3-K9 acetylation
rs3802604	GO:2000679	positive regulation of transcription regulatory region DNA binding
rs3802604	GO:2000683	regulation of cellular response to X-ray
rs3802604	GO:2000703	negative regulation of fibroblast growth factor receptor signaling pathway involved in ureteric bud formation
rs3802604	GO:2000734	negative regulation of glial cell-derived neurotrophic factor receptor signaling pathway involved in ureteric bud formation
rs117826205	GO:0030659	cytoplasmic vesicle membrane
rs117826205	GO:0042632	cholesterol homeostasis
rs117826205	GO:0070858	negative regulation of bile acid biosynthetic process
rs1816797	GO:0000281	mitotic cytokinesis
rs1816797	GO:0005200	structural constituent of cytoskeleton
rs1816797	GO:0005764	lysosome
rs1816797	GO:0005783	endoplasmic reticulum
rs1816797	GO:0007009	plasma membrane organization
rs1816797	GO:0007010	cytoskeleton organization
rs1816797	GO:0007409	axonogenesis
rs1816797	GO:0007528	neuromuscular junction development
rs1816797	GO:0008092	cytoskeletal protein binding
rs1816797	GO:0008093	cytoskeletal anchor activity
rs1816797	GO:0009925	basal plasma membrane
rs1816797	GO:0010650	positive regulation of cell communication by electrical coupling
rs1816797	GO:0010765	positive regulation of sodium ion transport
rs1816797	GO:0010960	magnesium ion homeostasis
rs1816797	GO:0014704	intercalated disc
rs1816797	GO:0014731	spectrin-associated cytoskeleton
rs1816797	GO:0016323	basolateral plasma membrane
rs1816797	GO:0016328	lateral plasma membrane
rs1816797	GO:0016529	sarcoplasmic reticulum
rs1816797	GO:0019228	neuronal action potential
rs1816797	GO:0030018	Z disc
rs1816797	GO:0030315	T-tubule
rs1816797	GO:0030674	protein-macromolecule adaptor activity
rs1816797	GO:0031594	neuromuscular junction
rs1816797	GO:0033268	node of Ranvier
rs1816797	GO:0034112	positive regulation of homotypic cell-cell adhesion
rs1816797	GO:0042383	sarcolemma
rs1816797	GO:0043001	Golgi to plasma membrane protein transport
rs1816797	GO:0043034	costamere
rs1816797	GO:0043194	axon initial segment
rs1816797	GO:0043266	regulation of potassium ion transport
rs1816797	GO:0044325	transmembrane transporter binding
rs1816797	GO:0045184	establishment of protein localization
rs1816797	GO:0045211	postsynaptic membrane
rs1816797	GO:0045296	cadherin binding
rs1816797	GO:0045838	positive regulation of membrane potential
rs1816797	GO:0051179	localization
rs1816797	GO:0071286	cellular response to magnesium ion
rs1816797	GO:0071709	membrane assembly
rs1816797	GO:0072659	protein localization to plasma membrane
rs1816797	GO:0072660	maintenance of protein location in plasma membrane
rs1816797	GO:0090314	positive regulation of protein targeting to membrane
rs1816797	GO:0099612	protein localization to axon
rs1816797	GO:1900827	positive regulation of membrane depolarization during cardiac muscle cell action potential
rs1816797	GO:1902260	negative regulation of delayed rectifier potassium channel activity
rs1816797	GO:2000651	positive regulation of sodium ion transmembrane transporter activity
rs1816797	GO:2001259	positive regulation of cation channel activity
rs12416116	GO:0010459	negative regulation of heart rate
rs12416116	GO:0016651	oxidoreductase activity - acting on NAD(P)H
rs12416116	GO:0045776	negative regulation of blood pressure
rs12416116	GO:0051379	epinephrine binding
rs12416116	GO:0070404	NADH binding
rs12416116	GO:0097621	monoamine oxidase activity
rs10788599	GO:0002931	response to ischemia
rs10788599	GO:0071869	response to catecholamine
rs10788599	GO:0071871	response to epinephrine
rs10788599	GO:1902074	response to salt
rs1326934	GO:0001725	stress fiber
rs1326934	GO:0003779	actin binding
rs1326934	GO:0005158	insulin receptor binding
rs1326934	GO:0005912	adherens junction
rs1326934	GO:0005915	zonula adherens
rs1326934	GO:0005925	focal adhesion
rs1326934	GO:0007160	cell-matrix adhesion
rs1326934	GO:0008286	insulin receptor signaling pathway
rs1326934	GO:0016363	nuclear matrix
rs1326934	GO:0016600	flotillin complex
rs1326934	GO:0030055	cell-substrate junction
rs1326934	GO:0030159	signaling receptor complex adaptor activity
rs1326934	GO:0031589	cell-substrate adhesion
rs1326934	GO:0032869	cellular response to insulin stimulus
rs1326934	GO:0043149	stress fiber assembly
rs1326934	GO:0045121	membrane raft
rs1326934	GO:0045725	positive regulation of glycogen biosynthetic process
rs1326934	GO:0046326	positive regulation of glucose import
rs1326934	GO:0046628	positive regulation of insulin receptor signaling pathway
rs1326934	GO:0046889	positive regulation of lipid biosynthetic process
rs1326934	GO:0048041	focal adhesion assembly
rs1326934	GO:1903078	positive regulation of protein localization to plasma membrane
rs10786436	GO:0008150	biological process
rs10786436	GO:0016798	hydrolase activity - acting on glycosyl bonds
rs10786436	GO:0030198	extracellular matrix organization
rs10786436	GO:0030305	heparanase activity
rs10786436	GO:0031012	extracellular matrix
rs10786436	GO:0043395	heparan sulfate proteoglycan binding
rs7903146	GO:0001568	blood vessel development
rs7903146	GO:0008013	beta-catenin binding
rs7903146	GO:0009749	response to glucose
rs7903146	GO:0010909	positive regulation of heparan sulfate proteoglycan biosynthetic process
rs7903146	GO:0016055	Wnt signaling pathway
rs7903146	GO:0016605	PML body
rs7903146	GO:0016922	nuclear receptor binding
rs7903146	GO:0019901	protein kinase binding
rs7903146	GO:0031016	pancreas development
rs7903146	GO:0032024	positive regulation of insulin secretion
rs7903146	GO:0032092	positive regulation of protein binding
rs7903146	GO:0032350	regulation of hormone metabolic process
rs7903146	GO:0032993	protein-DNA complex
rs7903146	GO:0042593	glucose homeostasis
rs7903146	GO:0043433	negative regulation of DNA-binding transcription factor activity
rs7903146	GO:0043570	maintenance of DNA repeat elements
rs7903146	GO:0044334	canonical Wnt signaling pathway involved in positive regulation of epithelial to mesenchymal transition
rs7903146	GO:0045295	gamma-catenin binding
rs7903146	GO:0045444	fat cell differentiation
rs7903146	GO:0048625	myoblast fate commitment
rs7903146	GO:0048660	regulation of smooth muscle cell proliferation
rs7903146	GO:0050679	positive regulation of epithelial cell proliferation
rs7903146	GO:0060070	canonical Wnt signaling pathway
rs7903146	GO:0070016	armadillo repeat domain binding
rs7903146	GO:0070369	beta-catenin-TCF7L2 complex
rs7903146	GO:0071664	catenin-TCF7L2 complex
rs7903146	GO:0090090	negative regulation of canonical Wnt signaling pathway
rs7903146	GO:1900182	positive regulation of protein localization to nucleus
rs7903146	GO:1990907	beta-catenin-TCF complex
rs7903146	GO:2000675	negative regulation of type B pancreatic cell apoptotic process
rs7903146	GO:2001237	negative regulation of extrinsic apoptotic signaling pathway
rs113306148	GO:0001553	luteinization
rs113306148	GO:0008209	androgen metabolic process
rs113306148	GO:0008210	estrogen metabolic process
rs113306148	GO:0008585	female gonad development
rs113306148	GO:0030165	PDZ domain binding
rs113306148	GO:0031529	ruffle organization
rs113306148	GO:0032587	ruffle membrane
rs113306148	GO:0033327	Leydig cell differentiation
rs113306148	GO:0043325	phosphatidylinositol-3-4-bisphosphate binding
rs113306148	GO:0048008	platelet-derived growth factor receptor signaling pathway
rs113306148	GO:0048705	skeletal system morphogenesis
rs113306148	GO:0050853	B cell receptor signaling pathway
rs113306148	GO:0051898	negative regulation of protein kinase B signaling
rs113306148	GO:0060021	roof of mouth development
rs113306148	GO:0060325	face morphogenesis
rs113306148	GO:0070301	cellular response to hydrogen peroxide
rs4244808	GO:0001503	ossification
rs4244808	GO:0001892	embryonic placenta development
rs4244808	GO:0001934	positive regulation of protein phosphorylation
rs4244808	GO:0005159	insulin-like growth factor receptor binding
rs4244808	GO:0005178	integrin binding
rs4244808	GO:0005179	hormone activity
rs4244808	GO:0006349	regulation of gene expression by genomic imprinting
rs4244808	GO:0030297	transmembrane receptor protein tyrosine kinase activator activity
rs4244808	GO:0031017	exocrine pancreas development
rs4244808	GO:0031056	regulation of histone modification
rs4244808	GO:0031093	platelet alpha granule lumen
rs4244808	GO:0038028	insulin receptor signaling pathway via phosphatidylinositol 3-kinase
rs4244808	GO:0040018	
rs4244808	GO:0043085	positive regulation of catalytic activity
rs4244808	GO:0043539	protein serine/threonine kinase activator activity
rs4244808	GO:0045840	positive regulation of mitotic nuclear division
rs4244808	GO:0046622	positive regulation of organ growth
rs4244808	GO:0046935	1-phosphatidylinositol-3-kinase regulator activity
rs4244808	GO:0048009	insulin-like growth factor receptor signaling pathway
rs4244808	GO:0048018	receptor ligand activity
rs4244808	GO:0048633	positive regulation of skeletal muscle tissue growth
rs4244808	GO:0051146	striated muscle cell differentiation
rs4244808	GO:0051147	regulation of muscle cell differentiation
rs4244808	GO:0051148	negative regulation of muscle cell differentiation
rs4244808	GO:0051781	positive regulation of cell division
rs4244808	GO:0060669	embryonic placenta morphogenesis
rs4244808	GO:0060720	spongiotrophoblast cell proliferation
rs4244808	GO:1905564	positive regulation of vascular endothelial cell proliferation
rs4244808	GO:2000467	positive regulation of glycogen (starch) synthase activity
rs3842753	GO:0002020	protease binding
rs3842753	GO:0002674	negative regulation of acute inflammatory response
rs3842753	GO:0005788	endoplasmic reticulum lumen
rs3842753	GO:0005796	Golgi lumen
rs3842753	GO:0006521	regulation of cellular amino acid metabolic process
rs3842753	GO:0007267	cell-cell signaling
rs3842753	GO:0010750	positive regulation of nitric oxide mediated signal transduction
rs3842753	GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling
rs3842753	GO:0022898	regulation of transmembrane transporter activity
rs3842753	GO:0030133	transport vesicle
rs3842753	GO:0030307	positive regulation of cell growth
rs3842753	GO:0030335	positive regulation of cell migration
rs3842753	GO:0031904	endosome lumen
rs3842753	GO:0031954	positive regulation of protein autophosphorylation
rs3842753	GO:0032148	activation of protein kinase B activity
rs3842753	GO:0032880	regulation of protein localization
rs3842753	GO:0033116	endoplasmic reticulum-Golgi intermediate compartment membrane
rs3842753	GO:0033861	negative regulation of NAD(P)H oxidase activity
rs3842753	GO:0034774	secretory granule lumen
rs3842753	GO:0038060	nitric oxide-cGMP-mediated signaling pathway
rs3842753	GO:0042177	negative regulation of protein catabolic process
rs3842753	GO:0042311	vasodilation
rs3842753	GO:0045721	negative regulation of gluconeogenesis
rs3842753	GO:0045818	negative regulation of glycogen catabolic process
rs3842753	GO:0045821	positive regulation of glycolytic process
rs3842753	GO:0045861	negative regulation of proteolysis
rs3842753	GO:0045922	negative regulation of fatty acid metabolic process
rs3842753	GO:0046631	alpha-beta T cell activation
rs3842753	GO:0048167	regulation of synaptic plasticity
rs3842753	GO:0050708	regulation of protein secretion
rs3842753	GO:0050709	negative regulation of protein secretion
rs3842753	GO:0050714	positive regulation of protein secretion
rs3842753	GO:0050890	cognition
rs3842753	GO:0050995	negative regulation of lipid catabolic process
rs3842753	GO:0051000	positive regulation of nitric-oxide synthase activity
rs3842753	GO:0051247	positive regulation of protein metabolic process
rs3842753	GO:0055089	fatty acid homeostasis
rs3842753	GO:0060266	negative regulation of respiratory burst involved in inflammatory response
rs3842753	GO:0060267	positive regulation of respiratory burst
rs3842753	GO:0090277	positive regulation of peptide hormone secretion
rs3842753	GO:0090336	positive regulation of brown fat cell differentiation
rs3842753	GO:1900273	positive regulation of long-term synaptic potentiation
rs3842753	GO:1902176	negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway
rs3842753	GO:1902952	positive regulation of dendritic spine maintenance
rs3842753	GO:1903076	regulation of protein localization to plasma membrane
rs3842753	GO:1903427	negative regulation of reactive oxygen species biosynthetic process
rs3842753	GO:1990535	neuron projection maintenance
rs3842753	GO:2000252	negative regulation of feeding behavior
rs4929965	GO:0001666	response to hypoxia
rs4929965	GO:0001963	synaptic transmission - dopaminergic
rs4929965	GO:0001975	response to amphetamine
rs4929965	GO:0003007	heart morphogenesis
rs4929965	GO:0004497	monooxygenase activity
rs4929965	GO:0004511	tyrosine 3-monooxygenase activity
rs4929965	GO:0005506	iron ion binding
rs4929965	GO:0005790	smooth endoplasmic reticulum
rs4929965	GO:0006585	dopamine biosynthetic process from tyrosine
rs4929965	GO:0006665	sphingolipid metabolic process
rs4929965	GO:0007507	heart development
rs4929965	GO:0007601	visual perception
rs4929965	GO:0007605	sensory perception of sound
rs4929965	GO:0007612	learning
rs4929965	GO:0007613	memory
rs4929965	GO:0007617	mating behavior
rs4929965	GO:0007626	locomotory behavior
rs4929965	GO:0008016	regulation of heart contraction
rs4929965	GO:0008021	synaptic vesicle
rs4929965	GO:0008198	ferrous iron binding
rs4929965	GO:0008199	ferric iron binding
rs4929965	GO:0009072	aromatic amino acid family metabolic process
rs4929965	GO:0009414	response to water deprivation
rs4929965	GO:0009416	response to light stimulus
rs4929965	GO:0009635	response to herbicide
rs4929965	GO:0009651	response to salt stress
rs4929965	GO:0010043	response to zinc ion
rs4929965	GO:0010259	multicellular organism aging
rs4929965	GO:0015842	aminergic neurotransmitter loading into synaptic vesicle
rs4929965	GO:0016137	glycoside metabolic process
rs4929965	GO:0016597	amino acid binding
rs4929965	GO:0016714	oxidoreductase activity - acting on paired donors - with incorporation or reduction of molecular oxygen - reduced pteridine as one donor - and incorporation of one atom of oxygen
rs4929965	GO:0017085	response to insecticide
rs4929965	GO:0018963	phthalate metabolic process
rs4929965	GO:0019825	oxygen binding
rs4929965	GO:0019904	protein domain specific binding
rs4929965	GO:0021987	cerebral cortex development
rs4929965	GO:0031667	response to nutrient levels
rs4929965	GO:0032355	response to estradiol
rs4929965	GO:0033076	isoquinoline alkaloid metabolic process
rs4929965	GO:0033162	melanosome membrane
rs4929965	GO:0034617	tetrahydrobiopterin binding
rs4929965	GO:0035094	response to nicotine
rs4929965	GO:0035176	social behavior
rs4929965	GO:0035240	dopamine binding
rs4929965	GO:0035900	response to isolation stress
rs4929965	GO:0035902	response to immobilization stress
rs4929965	GO:0036094	small molecule binding
rs4929965	GO:0042136	neurotransmitter biosynthetic process
rs4929965	GO:0042214	terpene metabolic process
rs4929965	GO:0042416	dopamine biosynthetic process
rs4929965	GO:0042418	epinephrine biosynthetic process
rs4929965	GO:0042423	catecholamine biosynthetic process
rs4929965	GO:0042462	eye photoreceptor cell development
rs4929965	GO:0042745	circadian sleep/wake cycle
rs4929965	GO:0042755	eating behavior
rs4929965	GO:0043025	neuronal cell body
rs4929965	GO:0043195	terminal bouton
rs4929965	GO:0043204	perikaryon
rs4929965	GO:0043434	response to peptide hormone
rs4929965	GO:0043473	pigmentation
rs4929965	GO:0045472	response to ether
rs4929965	GO:0046684	response to pyrethroid
rs4929965	GO:0048471	perinuclear region of cytoplasm
rs4929965	GO:0048545	response to steroid hormone
rs4929965	GO:0048596	embryonic camera-type eye morphogenesis
rs4929965	GO:0051412	response to corticosterone
rs4929965	GO:0051602	response to electrical stimulus
rs4929965	GO:0052314	phytoalexin metabolic process
rs4929965	GO:0070848	response to growth factor
rs4929965	GO:0071287	cellular response to manganese ion
rs4929965	GO:0071312	cellular response to alkaloid
rs4929965	GO:0071316	cellular response to nicotine
rs4929965	GO:0071333	cellular response to glucose stimulus
rs4929965	GO:0071363	cellular response to growth factor stimulus
rs4929965	GO:0071466	cellular response to xenobiotic stimulus
rs4929965	GO:1990384	hyaloid vascular plexus regression
rs2237897	GO:0001696	gastric acid secretion
rs2237897	GO:0001698	gastrin-induced gastric acid secretion
rs2237897	GO:0002027	regulation of heart rate
rs2237897	GO:0005216	ion channel activity
rs2237897	GO:0005244	voltage-gated ion channel activity
rs2237897	GO:0005249	voltage-gated potassium channel activity
rs2237897	GO:0005251	delayed rectifier potassium channel activity
rs2237897	GO:0005267	potassium channel activity
rs2237897	GO:0005546	phosphatidylinositol-4-5-bisphosphate binding
rs2237897	GO:0005769	early endosome
rs2237897	GO:0005770	late endosome
rs2237897	GO:0006811	ion transport
rs2237897	GO:0006813	potassium ion transport
rs2237897	GO:0006814	sodium ion transport
rs2237897	GO:0007622	rhythmic behavior
rs2237897	GO:0008076	voltage-gated potassium channel complex
rs2237897	GO:0008157	protein phosphatase 1 binding
rs2237897	GO:0008217	regulation of blood pressure
rs2237897	GO:0010460	positive regulation of heart rate
rs2237897	GO:0015271	outward rectifier potassium channel activity
rs2237897	GO:0015705	iodide transport
rs2237897	GO:0030644	cellular chloride ion homeostasis
rs2237897	GO:0032409	regulation of transporter activity
rs2237897	GO:0034236	protein kinase A catalytic subunit binding
rs2237897	GO:0034237	protein kinase A regulatory subunit binding
rs2237897	GO:0034702	ion channel complex
rs2237897	GO:0034705	potassium channel complex
rs2237897	GO:0034765	regulation of ion transmembrane transport
rs2237897	GO:0035934	corticosterone secretion
rs2237897	GO:0045177	apical part of cell
rs2237897	GO:0048839	inner ear development
rs2237897	GO:0050892	intestinal absorption
rs2237897	GO:0050910	detection of mechanical stimulus involved in sensory perception of sound
rs2237897	GO:0055064	chloride ion homeostasis
rs2237897	GO:0055075	potassium ion homeostasis
rs2237897	GO:0055085	transmembrane transport
rs2237897	GO:0060048	cardiac muscle contraction
rs2237897	GO:0060117	auditory receptor cell development
rs2237897	GO:0060306	regulation of membrane repolarization
rs2237897	GO:0060307	regulation of ventricular cardiac muscle cell membrane repolarization
rs2237897	GO:0060372	regulation of atrial cardiac muscle cell membrane repolarization
rs2237897	GO:0060452	positive regulation of cardiac muscle contraction
rs2237897	GO:0060453	regulation of gastric acid secretion
rs2237897	GO:0061337	cardiac conduction
rs2237897	GO:0062094	stomach development
rs2237897	GO:0070293	renal absorption
rs2237897	GO:0070294	renal sodium ion absorption
rs2237897	GO:0071320	cellular response to cAMP
rs2237897	GO:0071805	potassium ion transmembrane transport
rs2237897	GO:0071872	cellular response to epinephrine stimulus
rs2237897	GO:0071875	adrenergic receptor signaling pathway
rs2237897	GO:0072359	circulatory system development
rs2237897	GO:0086005	ventricular cardiac muscle cell action potential
rs2237897	GO:0086008	voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization
rs2237897	GO:0086009	membrane repolarization
rs2237897	GO:0086011	membrane repolarization during action potential
rs2237897	GO:0086013	membrane repolarization during cardiac muscle cell action potential
rs2237897	GO:0086014	atrial cardiac muscle cell action potential
rs2237897	GO:0086089	voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization
rs2237897	GO:0086091	regulation of heart rate by cardiac conduction
rs2237897	GO:0097110	scaffold protein binding
rs2237897	GO:0097546	ciliary base
rs2237897	GO:0097623	potassium ion export across plasma membrane
rs2237897	GO:0098914	membrane repolarization during atrial cardiac muscle cell action potential
rs2237897	GO:0098915	membrane repolarization during ventricular cardiac muscle cell action potential
rs2237897	GO:1901381	positive regulation of potassium ion transmembrane transport
rs2237897	GO:1902282	voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization
rs2237897	GO:1905150	regulation of voltage-gated sodium channel activity
rs2237897	GO:1905515	non-motile cilium assembly
rs2237897	GO:1990573	potassium ion import across plasma membrane
rs2237897	GO:1990794	basolateral part of cell
rs140215710	GO:0001501	skeletal system development
rs140215710	GO:0004860	protein kinase inhibitor activity
rs140215710	GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity
rs140215710	GO:0007096	regulation of exit from mitosis
rs140215710	GO:0007346	regulation of mitotic cell cycle
rs140215710	GO:0030099	myeloid cell differentiation
rs140215710	GO:0030325	adrenal gland development
rs140215710	GO:0030511	positive regulation of transforming growth factor beta receptor signaling pathway
rs140215710	GO:0033673	negative regulation of kinase activity
rs140215710	GO:0042326	negative regulation of phosphorylation
rs140215710	GO:0042551	neuron maturation
rs140215710	GO:0043010	camera-type eye development
rs140215710	GO:0044877	protein-containing complex binding
rs140215710	GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity
rs140215710	GO:0050680	negative regulation of epithelial cell proliferation
rs140215710	GO:0055123	digestive system development
rs140215710	GO:0060255	regulation of macromolecule metabolic process
rs140215710	GO:0071514	genomic imprinting
rs140215710	GO:0140678	molecular function inhibitor activity
rs140215710	GO:1902746	regulation of lens fiber cell differentiation
rs140215710	GO:1904030	negative regulation of cyclin-dependent protein kinase activity
rs4638289	GO:0001664	G protein-coupled receptor binding
rs4638289	GO:0005881	cytoplasmic microtubule
rs4638289	GO:0008201	heparin binding
rs4638289	GO:0030168	platelet activation
rs4638289	GO:0030593	neutrophil chemotaxis
rs4638289	GO:0032732	positive regulation of interleukin-1 production
rs4638289	GO:0034364	high-density lipoprotein particle
rs4638289	GO:0045785	positive regulation of cell adhesion
rs4638289	GO:0048246	macrophage chemotaxis
rs4638289	GO:0048247	lymphocyte chemotaxis
rs4638289	GO:0071682	endocytic vesicle lumen
rs11033048	GO:0005313	L-glutamate transmembrane transporter activity
rs11033048	GO:0005314	high-affinity L-glutamate transmembrane transporter activity
rs11033048	GO:0006750	glutathione biosynthetic process
rs11033048	GO:0006836	neurotransmitter transport
rs11033048	GO:0006865	amino acid transport
rs11033048	GO:0007632	visual behavior
rs11033048	GO:0008324	cation transmembrane transporter activity
rs11033048	GO:0008509	anion transmembrane transporter activity
rs11033048	GO:0008514	organic anion transmembrane transporter activity
rs11033048	GO:0009611	response to wounding
rs11033048	GO:0015175	neutral amino acid transmembrane transporter activity
rs11033048	GO:0015179	L-amino acid transmembrane transporter activity
rs11033048	GO:0015293	symporter activity
rs11033048	GO:0015501	glutamate
rs11033048	GO:0015804	neutral amino acid transport
rs11033048	GO:0015813	L-glutamate transmembrane transport
rs11033048	GO:0021537	telencephalon development
rs11033048	GO:0030534	adult behavior
rs11033048	GO:0030673	axolemma
rs11033048	GO:0031668	cellular response to extracellular stimulus
rs11033048	GO:0031982	vesicle
rs11033048	GO:0033229	cysteine transmembrane transporter activity
rs11033048	GO:0042734	presynaptic membrane
rs11033048	GO:0043200	response to amino acid
rs11033048	GO:0044297	cell body
rs11033048	GO:0044306	neuron projection terminus
rs11033048	GO:0070207	protein homotrimerization
rs11033048	GO:0070633	transepithelial transport
rs11033048	GO:0070778	L-aspartate transmembrane transport
rs11033048	GO:0070779	D-aspartate import across plasma membrane
rs11033048	GO:0071314	cellular response to cocaine
rs11033048	GO:0097449	astrocyte projection
rs11033048	GO:0098655	cation transmembrane transport
rs11033048	GO:0098656	anion transmembrane transport
rs11033048	GO:0098712	L-glutamate import across plasma membrane
rs11033048	GO:0098796	membrane protein complex
rs11033048	GO:0098810	neurotransmitter reuptake
rs11033048	GO:0098978	glutamatergic synapse
rs11033048	GO:0140009	L-aspartate import across plasma membrane
rs11033048	GO:0150104	transport across blood-brain barrier
rs11033048	GO:1903712	cysteine transmembrane transport
rs968567	GO:0004768	stearoyl-CoA 9-desaturase activity
rs968567	GO:0006633	fatty acid biosynthetic process
