SNPS	REGION	CHR_POS	CHR_ID	P-VALUE	MAPPED_GENE
rs1568959252		44998426	21	6e-10	
rs1794282		32698749	6	7.000000000000002e-110	
rs896487664		25865493	2	5e-09	
rs144833113		58389479	18	5e-10	
rs144833113		58389479	18	2e-07	
rs186775995		24259293	4	4e-08	
rs79236527		63633409	1	2e-08	
rs188453055		74624584	15	3e-09	
rs188453055		74624584	15	2e-06	
rs190446914		33955292	11	2e-09	
rs2255593		65543332	12	1e-09	
rs2255593		65543332	12	7e-09	
rs7351085		31157758	19	4e-16	
rs7351085		31157758	19	2e-08	
rs386630424		37781423	1	6e-16	
rs34459306		92954497	4	7e-09	
rs34459306		92954497	4	4e-08	
rs1586135813		56693303	8	4e-10	
rs1586135813		56693303	8	3e-08	
rs62489382		129949957	7	5e-12	
rs62461371		44959149	7	4e-15	
rs62461371		44959149	7	1e-10	
rs34349547		37891198	1	1e-19	
rs62251992		57259774	3	4e-16	
rs224009		20324372	9	7.000000000000001e-23	
rs224009		20324372	9	3e-09	
rs2250519		65644210	12	1e-14	
rs2250519		65644210	12	7e-10	
rs71557351		26835246	6	7.999999999999999e-26	
rs71557351		26835246	6	5e-11	
rs77081773		27596077	15	2e-20	
rs77081773		27596077	15	2e-08	
rs34800387		137009624	2	1.9999999999999998e-26	
rs34800387		137009624	2	4e-11	
rs520449		134538048	2	3e-52	
rs6723108		134722410	2	3e-57	
rs6430545		134845031	2	1e-58	
rs1979033		134947988	2	1e-73	
rs1979033		134947988	2	4e-14	
rs144512578		69405649	18	1e-06	
rs13207365		27063201	6	2.9999999999999997e-96	
rs74956101		9864106	16	9e-10	
rs74956101		9864106	16	7e-11	
rs1396962964		5703334	9	4e-10	
rs1396962964		5703334	9	5e-08	
rs4713614		33160210	6	2e-151	
rs116418977		25365660	6	5e-41	
rs28746946		32684938	6	0.0	
rs6930376		31275040	6	1.9999999999999999e-286	
CR024379		135859184	2	1e-121	
CR024379		135859184	2	1e-22	
rs62168795		135671796	2	6.0000000000000005e-117	
rs6730157		135149518	2	1e-116	
rs1219701875		135571320	2	7e-114	
rs6709525		135403522	2	2e-113	
rs6709525		135403522	2	2.0000000000000002e-21	
rs4954387		136026774	2	9.999999999999999e-92	
rs935613		135265228	2	2.0000000000000002e-75	
rs28815269		136221960	2	2e-73	
rs28815269		136221960	2	4e-16	
rs430133		29683408	6	2.0000000000000002e-60	
rs9260324		29949300	6	2e-44	
rs7128060		18269981	11	3e-39	
rs28720060		137228466	4	1e-20	
rs28720060		137228466	4	1e-08	
rs36146296		57373867	3	6e-17	
rs1962386		41913324	2	2.0000000000000002e-28	
rs10829984		131361823	10	5e-12	
rs10829984		131361823	10	2e-08	
rs998500		151853237	1	4e-19	
rs998500		151853237	1	3e-08	
rs11157552		22383427	14	8e-13	
rs4688508		64734347	3	1e-16	
rs312024		68326963	11	2e-12	
rs312024		68326963	11	1e-09	
rs11959635		6893947	5	8e-07	
rs11959635		6893947	5	1e-08	
rs11130569		57041866	3	4e-13	
rs11130569		57041866	3	4e-09	
rs17178006		65324519	12	1e-06	
rs17178006		65324519	12	3e-08	
rs4704666		80384899	5	5e-16	
rs4704666		80384899	5	5e-08	
rs185443605		25772946	2	8e-06	
rs1425018091		26732200	6	1e-79	
rs1425018091		26732200	6	2.0000000000000002e-28	
rs185135749		60197190	2	1e-14	
rs185135749		60197190	2	2e-09	
rs68006638		25710343	6	8.999999999999999e-70	
rs68006638		25710343	6	7.000000000000001e-23	
rs1462821813		30964532	6	2.0000000000000003e-202	
rs35789010		25513951	6	3e-65	
rs35789010		25513951	6	3e-23	
rs1170010108		27883876	6	2e-102	
rs13201341		25822433	6	1.0000000000000001e-71	
rs3884025		25929860	6	7.000000000000001e-73	
rs6904596		27523520	6	2e-96	
rs34888489		26073147	6	5e-74	
rs34888489		26073147	6	9e-24	
rs34961555		26199675	6	3e-79	
rs35768595		27174125	6	9.000000000000001e-87	
rs35715914		27624224	6	4e-90	
rs13220522		26316067	6	2.9999999999999997e-83	
rs13191786		28309894	6	2.9999999999999998e-92	
rs13195401		26463346	6	6e-87	
rs71206067		26935600	6	3e-87	
rs71206067		26935600	6	1e-31	
rs13202295		27731058	6	5.999999999999998e-91	
rs13198716		26581807	6	1e-87	
rs13198716		26581807	6	1e-31	
rs398110012		28429899	6	8e-94	
rs71559067		28026638	6	3e-94	
rs35044849		28699892	6	2.9999999999999997e-96	
rs13217984		28171932	6	7e-95	
rs3130831		29215110	6	9e-99	
rs866264659		29100913	6	4e-99	
rs9258375		29785031	6	9.999999999999999e-111	
rs9258375		29785031	6	5e-42	
rs413670		29558785	6	7e-108	
rs8321		30064745	6	2e-113	
rs3131071		28939145	6	1e-101	
rs3131071		28939145	6	7.0000000000000015e-43	
rs3131337		28828294	6	4e-117	
rs2517609		30202510	6	4e-125	
rs9257809		29388554	6	2.9999999999999998e-114	
rs9257809		29388554	6	6e-45	
rs1222508183		30569095	6	4.0000000000000006e-132	
rs9262143		30685004	6	2e-133	
rs3819720		32836793	6	9.000000000000001e-273	
rs3094053		30387407	6	2e-151	
rs1405122185		30801949	6	1e-271	
rs2523466		31395249	6	3e-279	
rs2516491		31517324	6	0.0	
rs3094669		31135418	6	2e-219	
rs11229		31635993	6	1e-302	
rs1270942		31951083	6	1e-283	
rs1150757		32061428	6	6.999999999999999e-285	
rs869165433		32234432	6	1.0000000000000001e-305	
rs116647495		33647094	6	1e-96	
rs116647495		33647094	6	4e-08	
rs150420498		33489728	6	2e-108	
rs115337486		33387741	6	2e-108	
rs563597519		35897277	19	2e-06	
rs3806155		32405601	6	4e-308	
rs842353		134585720	2	5e-10	
rs10171677		134688820	2	7e-12	
rs1375131		135197227	2	4e-22	
rs60701868		57295247	3	2e-08	
rs6739713		135731408	2	4e-14	
rs62425513		127756593	6	4e-08	
rs4389079		22390463	14	1e-08	
rs9870517		64722924	3	6e-09	
rs72887765		33301993	6	3e-09	
rs113196564		33464895	6	3e-10	
rs35477995		32596935	6	3e-28	
rs12465802		135623778	2	8.000000000000001e-23	
rs7570971		135080336	2	9.000000000000001e-23	
rs6735329		135516008	2	9.000000000000001e-21	
rs1480207964		57269656	3	4e-09	
rs2016636		135301250	2	3e-15	
rs77768351		129944187	7	8e-09	
rs13404551		135964425	2	7e-16	
rs10928520		134846613	2	2e-13	
rs4638289		18264227	11	4e-09	
rs6544495		41910220	2	6e-09	
rs2855448		33168798	6	3e-16	
rs1569836568		37812907	1	6e-14	
rs62392365		25371141	6	1e-09	
rs34676049		28485841	6	4.0000000000000004e-39	
rs13198809		28355925	6	4.0000000000000004e-39	
rs140423469		117481369	2	4e-08	
rs3117342		29238474	6	6e-43	
rs35243068		28705657	6	4e-41	
rs1259270189		29051468	6	3e-42	
rs1233488		29499942	6	2e-43	
rs3094067		30331468	6	2e-47	
rs3132645		30441472	6	1e-52	
rs72739842		71822481	9	5e-08	
rs1970		30157766	6	1e-51	
rs3130658		30733315	6	7.000000000000001e-56	
rs3132610		30576624	6	1e-57	
rs117426660		73991175	16	2e-08	
rs2517578		30843488	6	2e-62	
rs1632863		31000992	6	2.0000000000000003e-64	
rs1793894		31229085	6	2.0000000000000002e-75	
rs3130985		31117579	6	6e-72	
rs143757929		62744832	2	1e-08	
rs1451199489		31348918	6	9e-76	
rs55834529		27104763	6	7.000000000000001e-32	
rs888169813		27559448	6	2.0000000000000003e-34	
rs34196306		27457865	6	1.9999999999999998e-32	
rs72839445		27281907	6	7e-33	
rs34788973		27911422	6	2e-35	
rs35952432		28107123	6	5e-36	
rs13205211		28235278	6	5.0000000000000005e-37	
rs3115631		30018547	6	3e-42	
rs3131856		29639324	6	4e-42	
rs17214290		33020111	6	1e-12	
rs13211947		25864590	6	2e-22	
rs55706012		26266083	6	8e-27	
rs75205348		81431680	5	3e-10	
rs35927079		27700521	6	4e-33	
rs75782365		26408323	6	4e-31	
rs13195728		27803328	6	6e-34	
